country,code,continent,region1,region2,population
Afghanistan,AFG,Asia,Southern Asia,,38928000
Albania,ALB,Europe,Southern Europe,,2878000
Algeria,DZA,Africa,Northern Africa,,43851000
American Samoa,ASM,Oceania,Polynesia,,55000
Andorra,AND,Europe,Southern Europe,,77000
Angola,AGO,Africa,Middle Africa,Sub-Saharan Africa,32866000
Anguilla,AIA,North America,Caribbean,Latin America and the Caribbean,15000
Antigua and Barbuda,ATG,North America,Caribbean,Latin America and the Caribbean,98000
Argentina,ARG,South America,South America,Latin America and the Caribbean,45196000
Armenia,ARM,Asia,Western Asia,,2963000
Aruba,ABW,North America,Caribbean,Latin America and the Caribbean,107000
Australia,AUS,Oceania,Australia and New Zealand,,25500000
Austria,AUT,Europe,Western Europe,,9006000
Azerbaijan,AZE,Asia,Western Asia,,10139000
Bahamas,BHS,North America,Caribbean,Latin America and the Caribbean,393000
Bahrain,BHR,Asia,Western Asia,,1702000
Bangladesh,BGD,Asia,Southern Asia,,164689000
Barbados,BRB,North America,Caribbean,Latin America and the Caribbean,287000
Belarus,BLR,Europe,Eastern Europe,,9449000
Belgium,BEL,Europe,Western Europe,,11590000
Belize,BLZ,North America,Central America,Latin America and the Caribbean,398000
Benin,BEN,Africa,Western Africa,Sub-Saharan Africa,12123000
Bermuda,BMU,North America,Northern America,,62000
Bhutan,BTN,Asia,Southern Asia,,772000
Bolivia (Plurinational State of),BOL,South America,South America,Latin America and the Caribbean,11673000
"Bonaire, Sint Eustatius and Saba",BES,North America,Caribbean,Latin America and the Caribbean,26000
Bosnia and Herzegovina,BIH,Europe,Southern Europe,,3281000
Botswana,BWA,Africa,Southern Africa,Sub-Saharan Africa,2352000
Brazil,BRA,South America,South America,Latin America and the Caribbean,212559000
British Virgin Islands,VGB,North America,Caribbean,Latin America and the Caribbean,30000
Brunei Darussalam,BRN,Asia,South-eastern Asia,,437000
Bulgaria,BGR,Europe,Eastern Europe,,6948000
Burkina Faso,BFA,Africa,Western Africa,Sub-Saharan Africa,20903000
Burundi,BDI,Africa,Eastern Africa,Sub-Saharan Africa,11891000
Cabo Verde,CPV,Africa,Western Africa,Sub-Saharan Africa,556000
Cambodia,KHM,Asia,South-eastern Asia,,16719000
Cameroon,CMR,Africa,Middle Africa,Sub-Saharan Africa,26546000
Canada,CAN,North America,Northern America,,37742000
Cayman Islands,CYM,North America,Caribbean,Latin America and the Caribbean,66000
Central African Republic,CAF,Africa,Middle Africa,Sub-Saharan Africa,4830000
Chad,TCD,Africa,Middle Africa,Sub-Saharan Africa,16426000
Chile,CHL,South America,South America,Latin America and the Caribbean,19116000
China,CHN,Asia,Eastern Asia,,1439324000
Colombia,COL,South America,South America,Latin America and the Caribbean,50883000
Comoros,COM,Africa,Eastern Africa,Sub-Saharan Africa,870000
Congo,COG,Africa,Middle Africa,Sub-Saharan Africa,5518000
Cook Islands,COK,Oceania,Polynesia,,18000
Costa Rica,CRI,North America,Central America,Latin America and the Caribbean,5094000
