,level_0,index,country,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,transport_closing,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
0,0,0,Malta,2020-01-22,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Malta,2020-01-29,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.46,5.56,13.1,0.0
2,2,2,Malta,2020-02-05,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.46,5.56,13.1,0.0
3,3,3,Malta,2020-02-12,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.46,5.56,13.1,0.0
4,4,4,Malta,2020-02-19,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,11.46,5.56,13.1,0.0
5,5,5,Malta,2020-02-26,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,14.58,11.11,16.67,0.0
6,6,6,Malta,2020-03-04,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,14.58,11.11,16.67,0.0
7,7,7,Malta,2020-03-11,1.3574660633484164,,,,,,,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,26.04,27.78,29.76,0.0
8,8,8,Malta,2020-03-18,8.597285067873303,,,,,,,0.9049773755656109,0.0,,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,57.81,62.96,57.14,62.5
9,9,9,Malta,2020-03-25,29.18552036199095,,,,,,,2.48868778280543,0.0,,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,63.54,69.44,63.69,62.5
10,10,10,Malta,2020-04-01,42.53393665158371,,,,,,,2.0361990950226243,0.6787330316742082,,3.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,72.4,81.48,73.81,62.5
11,11,11,Malta,2020-04-08,67.6470588235294,0.22624434389140272,3.6199095022624435,,,,,2.0361990950226243,1.1312217194570136,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,75.52,87.04,77.38,62.5
12,12,12,Malta,2020-04-15,90.27149321266968,0.6787330316742082,,,,,,1.8099547511312217,0.45248868778280543,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,75.52,87.04,77.38,62.5
13,13,13,Malta,2020-04-22,100.4524886877828,0.6787330316742082,37.33031674208145,,,,,1.3574660633484164,0.22624434389140272,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,75.52,87.04,77.38,62.5
14,14,14,Malta,2020-04-29,104.75113122171945,0.9049773755656109,76.69683257918552,,,,,0.9049773755656109,0.45248868778280543,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,0.0,0.0,3.0,75.52,87.04,77.38,62.5
15,15,15,Malta,2020-05-06,109.50226244343891,1.1312217194570136,92.08144796380091,,,,,0.45248868778280543,0.0,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,78.65,87.04,80.95,62.5
16,16,16,Malta,2020-05-13,114.93212669683257,1.3574660633484164,98.64253393665157,,,,,0.0,0.0,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,78.65,87.04,80.95,62.5
17,17,17,Malta,2020-05-20,132.1266968325792,1.3574660633484164,105.20361990950227,,,,,,,,3.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,78.65,87.04,80.95,62.5
18,18,18,Malta,2020-05-27,138.46153846153845,1.583710407239819,111.08597285067873,,,,,1.3574660633484164,0.0,,3.0,1.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,74.48,83.33,76.19,62.5
